image_path,class_name,label
Healthy/IMG_0001.JPG,Healthy,0
Healthy/IMG_0002.JPG,Healthy,0
Healthy/IMG_0003.JPG,Healthy,0
Healthy/IMG_0004.JPG,Healthy,0
Healthy/IMG_0005.JPG,Healthy,0
Healthy/IMG_0290.JPG,Healthy,0
Healthy/IMG_0291.JPG,Healthy,0
Healthy/IMG_0292.JPG,Healthy,0
Healthy/IMG_0293.JPG,Healthy,0
Healthy/IMG_0294.JPG,Healthy,0
Healthy/IMG_0295.JPG,Healthy,0
Healthy/IMG_0296.JPG,Healthy,0
Healthy/IMG_0297.JPG,Healthy,0
Healthy/IMG_0298.JPG,Healthy,0
Healthy/IMG_0299.JPG,Healthy,0
Healthy/IMG_0300.JPG,Healthy,0
Healthy/IMG_0301.JPG,Healthy,0
Healthy/IMG_0302.JPG,Healthy,0
Healthy/IMG_0303.JPG,Healthy,0
Healthy/IMG_0304.JPG,Healthy,0
Healthy/IMG_0305.JPG,Healthy,0
Healthy/IMG_0306.JPG,Healthy,0
Healthy/IMG_0307.JPG,Healthy,0
Healthy/IMG_0308.JPG,Healthy,0
Healthy/IMG_0309.JPG,Healthy,0
Healthy/IMG_0310.JPG,Healthy,0
Healthy/IMG_0311.JPG,Healthy,0
Healthy/IMG_0312.JPG,Healthy,0
Healthy/IMG_0313.JPG,Healthy,0
Healthy/IMG_0314.JPG,Healthy,0
Healthy/IMG_0315.JPG,Healthy,0
Healthy/IMG_0316.JPG,Healthy,0
Healthy/IMG_0317.JPG,Healthy,0
Healthy/IMG_0318.JPG,Healthy,0
Healthy/IMG_0319.JPG,Healthy,0
Healthy/IMG_0320.JPG,Healthy,0
Healthy/IMG_0321.JPG,Healthy,0
Healthy/IMG_0322.JPG,Healthy,0
Healthy/IMG_0323.JPG,Healthy,0
Healthy/IMG_0324.JPG,Healthy,0
Healthy/IMG_0325.JPG,Healthy,0
Healthy/IMG_0326.JPG,Healthy,0
Healthy/IMG_0327.JPG,Healthy,0
Healthy/IMG_0328.JPG,Healthy,0
Healthy/IMG_0329.JPG,Healthy,0
Healthy/IMG_0330.JPG,Healthy,0
Healthy/IMG_0331.JPG,Healthy,0
Healthy/IMG_0332.JPG,Healthy,0
Healthy/IMG_0333.JPG,Healthy,0
Healthy/IMG_0334.JPG,Healthy,0
Healthy/IMG_0335.JPG,Healthy,0
Healthy/IMG_0336.JPG,Healthy,0
Healthy/IMG_0337.JPG,Healthy,0
Healthy/IMG_0338.JPG,Healthy,0
Healthy/IMG_0339.JPG,Healthy,0
Healthy/IMG_0340.JPG,Healthy,0
Healthy/IMG_0341.JPG,Healthy,0
Healthy/IMG_0342.JPG,Healthy,0
Healthy/IMG_0343.JPG,Healthy,0
Healthy/IMG_0344.JPG,Healthy,0
Healthy/IMG_0345.JPG,Healthy,0
Healthy/IMG_0346.JPG,Healthy,0
Healthy/IMG_0347.JPG,Healthy,0
Healthy/IMG_0348.JPG,Healthy,0
Healthy/IMG_0349.JPG,Healthy,0
Healthy/IMG_0350.JPG,Healthy,0
Healthy/IMG_0351.JPG,Healthy,0
Healthy/IMG_0352.JPG,Healthy,0
Healthy/IMG_0353.JPG,Healthy,0
Healthy/IMG_0354.JPG,Healthy,0
Healthy/IMG_0355.JPG,Healthy,0
Healthy/IMG_0356.JPG,Healthy,0
Healthy/IMG_0357.JPG,Healthy,0
Healthy/IMG_0358.JPG,Healthy,0
Healthy/IMG_0359.JPG,Healthy,0
Healthy/IMG_0360.JPG,Healthy,0
Healthy/IMG_0361.JPG,Healthy,0
Healthy/IMG_0362.JPG,Healthy,0
